state_abb,D0,D1,D2,D3,D4
AK,0.04,0.0,0.0,0.0,0.0
WY,0.0,0.0,0.0,0.0,0.0
NJ,0.0,0.0,0.0,0.0,0.0
IL,0.0,0.0,0.0,0.0,0.0
VT,0.0,0.0,0.0,0.0,0.0
AZ,10.26,0.0,0.0,0.0,0.0
RI,0.0,0.0,0.0,0.0,0.0
RI,0.0,0.0,0.0,0.0,0.0
VT,0.0,0.0,0.0,0.0,0.0
AR,14.42,0.0,0.0,0.0,0.0
AL,32.77,22.81,12.82,1.03,0.0
DE,20.88,24.53,28.68,19.24,0.0
FL,0.0,0.0,0.0,0.0,0.0
RI,0.0,0.0,0.0,0.0,0.0
FL,0.0,0.0,0.0,0.0,0.0
DC,4.51,0.0,0.0,0.0,0.0
IN,0.0,0.0,0.0,0.0,0.0
ME,0.0,0.0,0.0,0.0,0.0
VA,0.0,0.0,0.0,0.0,0.0
AR,38.98,12.56,39.83,0.0,0.0
ID,0.0,0.0,0.0,0.0,0.0
UT,0.0,0.0,0.0,0.0,0.0
ND,0.0,0.0,0.0,0.0,0.0
NY,0.0,0.0,0.0,0.0,0.0
WA,0.0,0.0,0.0,0.0,0.0
FL,0.0,0.0,0.0,0.0,0.0
AR,0.0,0.0,0.0,0.0,0.0
CA,4.58,2.43,3.16,3.04,0.0
DE,11.5,2.34,0.0,0.0,0.0
SC,0.0,0.0,0.0,0.0,0.0
VT,0.0,0.0,0.0,0.0,0.0
AK,23.51,30.31,32.76,12.65,0.0
TX,0.0,0.0,0.0,0.0,0.0
UT,0.0,0.0,0.0,0.0,0.0
GA,0.0,0.0,0.0,0.0,0.0
HI,0.0,0.0,0.0,0.0,0.0
OK,0.0,0.0,0.0,0.0,0.0
MA,0.0,0.0,0.0,0.0,0.0
OK,0.0,0.0,0.0,0.0,0.0
NM,0.0,0.0,0.0,0.0,0.0
KS,0.0,0.0,0.0,0.0,0.0
SC,0.0,0.0,0.0,0.0,0.0
NM,0.0,0.0,0.0,0.0,0.0
NE,0.0,0.0,0.0,0.0,0.0
ID,0.0,0.0,0.0,0.0,0.0
NH,0.0,0.0,0.0,0.0,0.0
CA,14.59,10.6,14.95,0.0,0.0
ND,0.0,0.0,0.0,0.0,0.0
PR,0.0,0.0,0.0,0.0,0.0
DC,0.0,0.0,0.0,0.0,0.0
SD,0.0,0.0,0.0,0.0,0.0
